,longitude,latitude,glim,contact1,contact2,geometry,LST_01,LST_02,LST_03,LST_04,LST_05,LST_06,LST_07,LST_08,LST_09,LST_10,LST_11,LST_12
139802,14.25,28.75,3.0,0.0,1.0,POINT (14.25 28.75),295.88299560546875,299.82666015625,306.6666564941406,312.3895263671875,317.2218933105469,321.67047119140625,324.32379150390625,323.7923583984375,319.70855712890625,312.5618896484375,304.3933410644531,297.0923767089844
139803,14.25,28.25,3.0,0.0,1.0,POINT (14.25 28.25),294.4859924316406,297.8085632324219,303.8609313964844,309.3495178222656,314.3076171875,318.5323791503906,321.3314208984375,320.6923828125,316.9523620605469,310.09332275390625,302.3218994140625,295.884765625
139804,14.25,27.75,3.0,0.0,1.0,POINT (14.25 27.75),296.9539794921875,300.3590393066406,306.30474853515625,311.8504638671875,316.24761962890625,320.4723815917969,323.1523742675781,322.52093505859375,319.0923767089844,312.24951171875,304.5380859375,298.0104675292969
140161,14.75,29.25,3.0,0.0,1.0,POINT (14.75 29.25),293.375,297.17047119140625,304.0152282714844,309.5485534667969,315.0038146972656,319.2609558105469,321.4857177734375,321.2961730957031,317.32666015625,310.2876281738281,301.90380859375,294.9409484863281
140162,14.75,28.75,3.0,0.0,1.0,POINT (14.75 28.75),295.2569885253906,299.066650390625,305.779052734375,311.4504699707031,317.0199890136719,321.4476013183594,324.0590515136719,323.6095275878906,319.2657165527344,312.0952453613281,303.7438049316406,296.6380920410156
140163,14.75,28.25,2.0,1.0,0.0,POINT (14.75 28.25),294.3489990234375,297.9123840332031,304.5333251953125,309.9314270019531,315.40570068359375,319.7095031738281,322.3019104003906,321.336181640625,317.4942932128906,310.6209411621094,302.4676208496094,295.8590393066406
140164,14.75,27.75,3.0,0.0,1.0,POINT (14.75 27.75),295.09197998046875,298.8895263671875,305.2971496582031,310.6161804199219,315.5247497558594,319.4857177734375,322.0895080566406,321.4599914550781,318.1209411621094,311.239990234375,303.16094970703125,296.2190246582031
140522,15.25,28.75,2.0,1.0,0.0,POINT (15.25 28.75),292.0610046386719,295.490478515625,302.1009521484375,307.7409362792969,312.8076171875,316.9552307128906,319.2161865234375,318.3085632324219,314.4952392578125,307.60284423828125,299.8209533691406,293.5104675292969
140523,15.25,28.25,3.0,0.0,1.0,POINT (15.25 28.25),295.2070007324219,298.9761962890625,305.9676208496094,311.54949951171875,316.4723815917969,320.6904602050781,323.2257080078125,322.7314147949219,318.87713623046875,311.8714294433594,303.97808837890625,296.91143798828125
140881,15.75,29.25,3.0,0.0,1.0,POINT (15.75 29.25),295.77398681640625,299.4752197265625,306.2361755371094,311.4142761230469,316.6885681152344,321.1933288574219,323.29998779296875,322.8619079589844,319.0990295410156,312.3695068359375,304.2990417480469,297.2342834472656
140882,15.75,28.75,2.0,1.0,0.0,POINT (15.75 28.75),293.052001953125,296.6333312988281,303.1447448730469,308.38189697265625,313.5618896484375,317.6199951171875,319.7866516113281,318.913330078125,315.3599853515625,308.62286376953125,301.2161865234375,294.5485534667969
140883,15.75,28.25,3.0,0.0,1.0,POINT (15.75 28.25),294.5509948730469,298.4676208496094,305.2914123535156,310.894287109375,315.7257080078125,319.8876037597656,322.0218811035156,321.6495056152344,318.21807861328125,311.2456970214844,303.4371337890625,296.1742858886719
140892,15.75,23.75,3.0,0.0,1.0,POINT (15.75 23.75),299.16497802734375,302.6361999511719,309.0590515136719,314.5333251953125,318.2609558105469,320.72857666015625,322.1618957519531,322.13427734375,320.11236572265625,314.32379150390625,306.9552307128906,300.32379150390625
141241,16.25,29.25,3.0,0.0,1.0,POINT (16.25 29.25),294.2869873046875,297.79998779296875,304.3704833984375,309.7723693847656,314.8218994140625,319.32476806640625,321.2314147949219,320.3999938964844,316.9209289550781,310.3857116699219,302.4742736816406,295.69903564453125
141242,16.25,28.75,3.0,0.0,1.0,POINT (16.25 28.75),292.864990234375,296.3133239746094,302.7742919921875,308.1380920410156,312.8952331542969,317.3199768066406,319.2838134765625,318.5914306640625,315.375244140625,308.7685546875,301.239990234375,294.3476257324219
141243,16.25,28.25,3.0,0.0,1.0,POINT (16.25 28.25),292.5849914550781,296.6914367675781,303.1037902832031,308.394287109375,313.08380126953125,317.2914123535156,319.0428466796875,318.7438049316406,315.74285888671875,309.0419006347656,301.7104797363281,294.3218994140625
141244,16.25,27.75,3.0,0.0,1.0,POINT (16.25 27.75),295.8119812011719,299.9371337890625,306.9047546386719,311.89617919921875,317.2218933105469,321.1199951171875,322.8257141113281,322.53521728515625,319.701904296875,312.7161865234375,304.7742919921875,297.46380615234375
141245,16.25,27.25,3.0,0.0,1.0,POINT (16.25 27.25),296.8659973144531,301.1304626464844,308.509521484375,313.91522216796875,319.1190490722656,323.2342834472656,325.4095153808594,325.2409362792969,321.26190185546875,313.9361877441406,305.7552185058594,298.70379638671875
141246,16.25,26.75,3.0,0.0,1.0,POINT (16.25 26.75),293.58599853515625,297.4790344238281,304.57427978515625,310.0342712402344,315.0390319824219,319.4666748046875,321.9171447753906,321.1476135253906,317.51715087890625,310.62188720703125,302.33331298828125,295.3876037597656
141252,16.25,23.75,3.0,0.0,1.0,POINT (16.25 23.75),296.9679870605469,300.6000061035156,306.4438171386719,312.1809387207031,316.3371276855469,318.93048095703125,320.2971496582031,320.3123779296875,318.21905517578125,312.05426025390625,304.4857177734375,298.20855712890625
141253,16.25,23.25,2.0,1.0,0.0,POINT (16.25 23.25),297.34100341796875,301.3133239746094,307.8228454589844,313.566650390625,317.46856689453125,319.60760498046875,320.68475341796875,320.8809509277344,319.1190490722656,313.0047607421875,305.63140869140625,298.73333740234375
141256,16.25,21.75,3.0,0.0,1.0,POINT (16.25 21.75),297.8979797363281,302.35809326171875,309.0199890136719,314.6781005859375,318.0400085449219,319.2438049316406,319.48095703125,319.0723876953125,318.6095275878906,313.6676025390625,307.1095275878906,300.23333740234375
141257,16.25,21.25,3.0,0.0,1.0,POINT (16.25 21.25),303.27899169921875,307.34759521484375,313.42572021484375,318.4142761230469,320.81903076171875,321.3161926269531,320.9933166503906,320.0495300292969,321.0171203613281,317.2218933105469,311.51239013671875,305.23236083984375
141258,16.25,20.75,3.0,0.0,1.0,POINT (16.25 20.75),306.864990234375,310.94000244140625,316.8590393066406,321.6856994628906,323.89617919921875,323.62664794921875,322.8009338378906,321.76666259765625,324.0104675292969,320.6142883300781,314.4361877441406,308.4142761230469
141602,16.75,28.75,3.0,0.0,1.0,POINT (16.75 28.75),294.2080078125,298.0723571777344,304.6428527832031,310.05523681640625,314.9523620605469,319.1285705566406,321.2104797363281,320.5904541015625,317.19427490234375,310.6066589355469,303.0447692871094,295.82666015625
141603,16.75,28.25,3.0,0.0,1.0,POINT (16.75 28.25),296.6719970703125,300.93048095703125,307.62664794921875,312.7409362792969,317.6428527832031,321.5276184082031,323.33331298828125,322.8504638671875,320.0542907714844,313.5466613769531,305.6933288574219,298.509521484375
141604,16.75,27.75,2.0,1.0,0.0,POINT (16.75 27.75),297.41400146484375,302.0514221191406,309.2847595214844,314.6504821777344,319.2504577636719,323.3066711425781,324.585693359375,324.1142883300781,321.3999938964844,314.2818908691406,306.0799865722656,299.50762939453125
141605,16.75,27.25,2.0,1.0,0.0,POINT (16.75 27.25),298.60400390625,302.72857666015625,310.470458984375,315.6790466308594,321.14190673828125,325.162841796875,326.94854736328125,326.4476013183594,322.874267578125,315.4504699707031,307.23712158203125,300.4085693359375
141606,16.75,26.75,3.0,0.0,1.0,POINT (16.75 26.75),296.9010009765625,300.92474365234375,307.88189697265625,312.82952880859375,318.259033203125,322.52667236328125,325.24951171875,324.5561828613281,320.4866638183594,313.4942932128906,305.3133239746094,298.6761779785156
141607,16.75,26.25,3.0,0.0,1.0,POINT (16.75 26.25),295.4159851074219,299.2552185058594,306.0152282714844,310.8999938964844,316.278076171875,320.0609436035156,322.6580810546875,321.7447509765625,318.4857177734375,311.82476806640625,303.79998779296875,296.8828430175781
141608,16.75,25.75,3.0,0.0,1.0,POINT (16.75 25.75),300.010986328125,303.5876159667969,310.3180847167969,314.9485778808594,319.9676208496094,323.5771484375,326.0847473144531,325.3571472167969,322.2961730957031,315.67236328125,308.05999755859375,301.1933288574219
141613,16.75,23.25,3.0,0.0,1.0,POINT (16.75 23.25),297.625,301.53045654296875,308.0523681640625,314.51715087890625,318.1380920410156,320.4980773925781,321.6447448730469,321.7447509765625,319.9609375,313.8276062011719,306.0590515136719,298.9857177734375
141617,16.75,21.25,2.0,1.0,0.0,POINT (16.75 21.25),303.5829772949219,308.3590393066406,314.69140625,319.6999816894531,321.9095153808594,322.8228454589844,323.5799865722656,323.0523681640625,322.7933349609375,318.3952331542969,312.2266540527344,305.4619140625
141618,16.75,20.75,3.0,0.0,1.0,POINT (16.75 20.75),301.9620056152344,305.69427490234375,310.6809387207031,315.28857421875,317.16094970703125,317.4552307128906,316.7361755371094,315.8638000488281,317.16571044921875,314.3104553222656,308.7218933105469,303.4942626953125
141619,16.75,20.25,3.0,0.0,1.0,POINT (16.75 20.25),307.3630065917969,311.7028503417969,317.8352355957031,322.547607421875,324.4742736816406,324.5428466796875,323.2961730957031,322.605712890625,324.8638000488281,322.0075988769531,315.22381591796875,308.80950927734375
141962,17.25,28.75,3.0,0.0,1.0,POINT (17.25 28.75),295.1860046386719,298.98284912109375,305.05523681640625,310.20855712890625,315.4656982421875,319.9361877441406,321.971435546875,321.44189453125,317.9371337890625,311.4171447753906,303.47808837890625,296.79522705078125
141963,17.25,28.25,2.0,1.0,0.0,POINT (17.25 28.25),298.8320007324219,302.9819030761719,309.6495056152344,314.58380126953125,319.6000061035156,323.86474609375,325.3933410644531,324.95904541015625,322.0,315.009521484375,307.2352294921875,300.3009338378906
141964,17.25,27.75,2.0,1.0,0.0,POINT (17.25 27.75),298.5719909667969,302.778076171875,310.6161804199219,315.3809509277344,320.4952392578125,324.6980895996094,326.22283935546875,325.68475341796875,322.3428649902344,315.2514343261719,307.1476135253906,300.3609313964844
141965,17.25,27.25,2.0,1.0,0.0,POINT (17.25 27.25),297.6869812011719,301.91998291015625,309.4304504394531,314.6838073730469,319.4266662597656,323.82000732421875,325.5038146972656,324.9380798339844,321.2047424316406,313.779052734375,305.9180908203125,299.03619384765625
141966,17.25,26.75,2.0,1.0,0.0,POINT (17.25 26.75),299.2829895019531,303.798095703125,310.67999267578125,315.7419128417969,320.5437927246094,325.1552429199219,327.3695068359375,326.7409362792969,322.7009582519531,315.6856994628906,307.567626953125,301.0561828613281
141967,17.25,26.25,2.0,1.0,0.0,POINT (17.25 26.25),297.7879943847656,301.6399841308594,308.03143310546875,313.0104675292969,317.8314208984375,321.8085632324219,324.1190490722656,323.3371276855469,320.1999816894531,313.53619384765625,305.6647644042969,299.0380859375
141968,17.25,25.75,2.0,1.0,0.0,POINT (17.25 25.75),297.7309875488281,301.3304748535156,307.7047424316406,312.63140869140625,317.73712158203125,320.8971252441406,322.8590393066406,322.3276062011719,319.7838134765625,313.32855224609375,305.5323791503906,298.9914245605469
141969,17.25,25.25,3.0,0.0,1.0,POINT (17.25 25.25),298.5099792480469,301.8476257324219,307.69903564453125,312.7028503417969,317.22283935546875,320.89617919921875,322.52569580078125,322.3609313964844,320.16571044921875,313.66571044921875,305.9085693359375,299.55047607421875
141976,17.25,21.75,3.0,0.0,1.0,POINT (17.25 21.75),298.4079895019531,302.5342712402344,308.5819091796875,314.1295166015625,316.8304748535156,318.00665283203125,318.34381103515625,318.05523681640625,317.14190673828125,312.7218933105469,306.73333740234375,300.2542724609375
141977,17.25,21.25,2.0,1.0,0.0,POINT (17.25 21.25),303.4259948730469,308.5133361816406,315.6095275878906,320.9266662597656,322.9609375,324.0047607421875,324.6999816894531,324.27142333984375,323.681884765625,319.2066650390625,312.6380920410156,305.4476013183594
141978,17.25,20.75,2.0,1.0,0.0,POINT (17.25 20.75),302.4010009765625,306.5342712402344,311.2580871582031,315.8076171875,317.64190673828125,316.3104553222656,315.5819091796875,314.3476257324219,315.8323669433594,313.3876037597656,309.3904724121094,304.1838073730469
141979,17.25,20.25,3.0,0.0,1.0,POINT (17.25 20.25),303.3269958496094,307.56475830078125,313.1647644042969,317.90570068359375,319.7561950683594,319.64190673828125,318.61712646484375,317.74285888671875,319.22760009765625,316.5333251953125,310.46856689453125,304.8371276855469
142323,17.75,28.25,3.0,0.0,1.0,POINT (17.75 28.25),295.5369873046875,299.0780944824219,305.64190673828125,310.393310546875,315.5238037109375,319.6447448730469,321.2818908691406,320.80950927734375,318.05047607421875,311.3828430175781,303.83331298828125,296.9628601074219
142324,17.75,27.75,2.0,1.0,0.0,POINT (17.75 27.75),299.41998291015625,303.43048095703125,310.1352233886719,315.0799865722656,320.26190185546875,324.7095031738281,326.3323669433594,326.0609436035156,322.7533264160156,315.6580810546875,307.24285888671875,300.84857177734375
142325,17.75,27.25,2.0,1.0,0.0,POINT (17.75 27.25),299.6889953613281,303.60760498046875,310.66571044921875,315.7123718261719,320.4933166503906,325.047607421875,326.4599914550781,326.26953125,322.9076232910156,315.6495056152344,307.42950439453125,301.15142822265625
142327,17.75,26.25,2.0,1.0,0.0,POINT (17.75 26.25),299.8219909667969,303.3980712890625,309.79998779296875,314.26666259765625,319.2266540527344,322.99237060546875,324.9961853027344,324.4819030761719,321.817138671875,315.43902587890625,307.5809326171875,301.21331787109375
142328,17.75,25.75,2.0,1.0,0.0,POINT (17.75 25.75),297.8070068359375,301.23236083984375,307.2295227050781,311.73333740234375,316.374267578125,319.9885559082031,321.3837890625,321.0542907714844,318.91998291015625,312.8971252441406,305.4457092285156,298.9656982421875
142337,17.75,21.25,2.0,1.0,0.0,POINT (17.75 21.25),305.78399658203125,310.8504638671875,317.4990539550781,322.5752258300781,324.7171325683594,325.4523620605469,326.34283447265625,326.1199951171875,325.1761779785156,320.7200012207031,314.6980895996094,307.6047668457031
142338,17.75,20.75,2.0,1.0,0.0,POINT (17.75 20.75),300.8320007324219,304.93524169921875,310.48284912109375,315.7923889160156,318.0075988769531,318.58380126953125,318.2818908691406,317.6790466308594,317.85333251953125,314.1542663574219,308.6399841308594,302.7009582519531
142340,17.75,19.75,3.0,0.0,1.0,POINT (17.75 19.75),308.4179992675781,312.96380615234375,319.0876159667969,323.1742858886719,324.68951416015625,325.0714111328125,324.5,324.06951904296875,325.6666564941406,322.951416015625,315.9723815917969,309.76666259765625
142341,17.75,19.25,3.0,0.0,1.0,POINT (17.75 19.25),304.99798583984375,309.0152282714844,314.86474609375,319.4504699707031,322.047607421875,322.6390380859375,322.55047607421875,321.84283447265625,322.1504821777344,318.32855224609375,312.24761962890625,306.3218994140625
142683,18.25,28.25,3.0,0.0,1.0,POINT (18.25 28.25),295.8659973144531,299.49237060546875,305.3323669433594,310.1676025390625,315.4961853027344,319.6399841308594,321.03521728515625,320.70855712890625,317.971435546875,311.32952880859375,303.8276062011719,297.6580810546875
142684,18.25,27.75,3.0,0.0,1.0,POINT (18.25 27.75),296.1940002441406,299.8104553222656,305.6761779785156,310.57904052734375,315.58380126953125,319.6095275878906,320.9085693359375,320.8314208984375,318.43426513671875,311.6885681152344,304.0809326171875,298.0295104980469
142685,18.25,27.25,2.0,1.0,0.0,POINT (18.25 27.25),299.8280029296875,303.5295104980469,310.4580993652344,315.21142578125,319.8504638671875,324.2456970214844,325.6695251464844,325.47998046875,322.71331787109375,315.8761901855469,307.8904724121094,301.3733215332031
142688,18.25,25.75,3.0,0.0,1.0,POINT (18.25 25.75),299.0669860839844,302.163818359375,308.0876159667969,312.80474853515625,317.58856201171875,320.91522216796875,322.01617431640625,321.8704833984375,320.2123718261719,314.2009582519531,306.4571228027344,300.2942810058594
142692,18.25,23.75,3.0,0.0,1.0,POINT (18.25 23.75),298.6399841308594,302.4599914550781,308.9599914550781,314.5771179199219,318.6399841308594,321.5523681640625,322.8257141113281,322.72283935546875,320.8466491699219,314.6590270996094,307.0152282714844,300.2914123535156
142693,18.25,23.25,3.0,0.0,1.0,POINT (18.25 23.25),301.77398681640625,305.8619079589844,313.3666687011719,319.7961730957031,323.2514343261719,325.44000244140625,326.6590270996094,326.8695068359375,324.6000061035156,318.8952331542969,311.04095458984375,303.5971374511719
142694,18.25,22.75,3.0,0.0,1.0,POINT (18.25 22.75),301.93798828125,306.44952392578125,313.8800048828125,319.8714294433594,323.239990234375,325.03521728515625,326.0495300292969,325.9819030761719,323.9819030761719,318.63238525390625,311.1933288574219,303.61810302734375
142697,18.25,21.25,2.0,1.0,0.0,POINT (18.25 21.25),300.92498779296875,305.3161926269531,310.7599792480469,316.1971435546875,317.7266540527344,318.53143310546875,318.8038024902344,317.8038024902344,316.7876281738281,312.9561767578125,308.2533264160156,302.5523681640625
142698,18.25,20.75,2.0,1.0,0.0,POINT (18.25 20.75),299.9079895019531,304.15142822265625,310.3828430175781,315.72760009765625,317.4276123046875,318.22381591796875,318.682861328125,317.5371398925781,316.58380126953125,312.239990234375,307.17236328125,301.4066467285156
142699,18.25,20.25,2.0,1.0,0.0,POINT (18.25 20.25),299.447998046875,303.5685729980469,308.8104553222656,313.4914245605469,315.4857177734375,315.5685729980469,314.9485778808594,314.0057067871094,313.9504699707031,310.7257080078125,305.52191162109375,300.7552185058594
142700,18.25,19.75,2.0,1.0,0.0,POINT (18.25 19.75),306.4119873046875,310.7923583984375,316.33428955078125,321.1952209472656,323.1600036621094,323.2695007324219,322.913330078125,322.2057189941406,323.18475341796875,319.8038024902344,313.70379638671875,307.8323669433594
142701,18.25,19.25,3.0,0.0,1.0,POINT (18.25 19.25),304.3590087890625,308.143798828125,313.7733154296875,318.845703125,321.1600036621094,322.15618896484375,322.4552307128906,322.02191162109375,321.62286376953125,317.4990539550781,311.6066589355469,305.8780822753906
143044,18.75,27.75,3.0,0.0,1.0,POINT (18.75 27.75),295.0400085449219,298.4647521972656,304.1637878417969,308.7580871582031,314.09521484375,318.20379638671875,319.36285400390625,319.21807861328125,316.9676208496094,310.40380859375,302.7742919921875,296.7390441894531
143045,18.75,27.25,3.0,0.0,1.0,POINT (18.75 27.25),296.3580017089844,299.7161865234375,305.8294982910156,310.4123840332031,315.7390441894531,319.7076110839844,320.8104553222656,320.66571044921875,318.6952209472656,312.30474853515625,304.143798828125,297.9628601074219
143052,18.75,23.75,3.0,0.0,1.0,POINT (18.75 23.75),301.552001953125,305.31903076171875,311.9837951660156,317.61712646484375,321.55047607421875,324.8028564453125,326.4476013183594,326.3476257324219,323.5228576660156,317.374267578125,309.7542724609375,303.124755859375
143053,18.75,23.25,2.0,1.0,0.0,POINT (18.75 23.25),303.0220031738281,307.6095275878906,314.32952880859375,319.7028503417969,323.0618896484375,325.28094482421875,326.7923583984375,326.7704772949219,324.7942810058594,319.0085754394531,312.1866455078125,305.08856201171875
143054,18.75,22.75,3.0,0.0,1.0,POINT (18.75 22.75),303.093994140625,307.82952880859375,314.88189697265625,320.624755859375,323.5323791503906,325.6333312988281,326.6666564941406,326.2685546875,324.3619079589844,319.181884765625,312.2361755371094,304.855224609375
143056,18.75,21.75,3.0,0.0,1.0,POINT (18.75 21.75),296.07098388671875,300.2342834472656,305.6542663574219,311.0819091796875,313.6000061035156,315.3876037597656,316.0590515136719,315.7218933105469,313.9180908203125,309.1428527832031,303.6876220703125,297.9409484863281
143057,18.75,21.25,3.0,0.0,1.0,POINT (18.75 21.25),297.8119812011719,301.5704650878906,307.1904602050781,312.40380859375,314.92095947265625,316.78759765625,317.2542724609375,317.143798828125,315.8152160644531,311.21905517578125,305.1781005859375,299.17523193359375
143058,18.75,20.75,3.0,0.0,1.0,POINT (18.75 20.75),296.7989807128906,300.77618408203125,306.72381591796875,311.9790344238281,314.4580993652344,315.63714599609375,316.01904296875,315.6904602050781,314.42474365234375,310.0466613769531,303.8981018066406,298.2818908691406
143059,18.75,20.25,3.0,0.0,1.0,POINT (18.75 20.25),299.7900085449219,303.7942810058594,309.7266540527344,315.05523681640625,317.2456970214844,318.7057189941406,319.0038146972656,318.82855224609375,317.65618896484375,313.5104675292969,307.3695068359375,301.528564453125
143060,18.75,19.75,2.0,1.0,0.0,POINT (18.75 19.75),303.76397705078125,307.8133239746094,313.4952392578125,318.8314208984375,320.9618835449219,321.95428466796875,322.53521728515625,322.05047607421875,321.29998779296875,317.0590515136719,310.9342956542969,305.1190490722656
143061,18.75,19.25,3.0,0.0,1.0,POINT (18.75 19.25),301.9010009765625,305.9142761230469,312.4914245605469,318.2561950683594,320.8752136230469,321.8685607910156,322.1542663574219,321.6600036621094,321.0847473144531,316.52667236328125,310.11712646484375,303.70953369140625
143411,19.25,24.25,3.0,0.0,1.0,POINT (19.25 24.25),299.1130065917969,302.4285583496094,308.7342834472656,314.5561828613281,318.7095031738281,321.9076232910156,323.0323791503906,322.855224609375,320.7171325683594,314.48284912109375,306.8152160644531,300.1876220703125
143412,19.25,23.75,2.0,1.0,0.0,POINT (19.25 23.75),300.1719970703125,303.8695068359375,310.5,316.49713134765625,320.7047424316406,323.84381103515625,325.5618896484375,325.3809509277344,322.576171875,316.35711669921875,308.90093994140625,301.7485656738281
143413,19.25,23.25,3.0,0.0,1.0,POINT (19.25 23.25),298.83599853515625,302.5028381347656,308.9571228027344,314.95904541015625,318.6380920410156,321.4609375,323.0942687988281,322.7257080078125,319.9961853027344,313.9314270019531,306.7685546875,300.1933288574219
143414,19.25,22.75,3.0,0.0,1.0,POINT (19.25 22.75),298.6529846191406,302.5809326171875,308.7961730957031,314.51904296875,317.9961853027344,320.7047424316406,322.26190185546875,321.8952331542969,319.3114318847656,313.2314147949219,306.586669921875,300.297119140625
143421,19.25,19.25,3.0,0.0,1.0,POINT (19.25 19.25),301.6300048828125,305.2990417480469,312.3085632324219,318.3571472167969,320.7914123535156,321.7542724609375,322.44476318359375,322.03045654296875,321.50189208984375,316.7533264160156,310.12286376953125,303.32476806640625
143772,19.75,23.75,2.0,1.0,0.0,POINT (19.75 23.75),298.4289855957031,302.0590515136719,308.6133117675781,314.4409484863281,318.7057189941406,321.9742736816406,323.5057067871094,323.279052734375,320.71331787109375,314.56475830078125,306.7419128417969,299.9723815917969
143773,19.75,23.25,3.0,0.0,1.0,POINT (19.75 23.25),298.572998046875,301.9656982421875,308.27618408203125,314.2847595214844,318.33905029296875,321.9380798339844,323.662841796875,323.4599914550781,320.7971496582031,314.5723876953125,306.82000732421875,299.9656982421875
144131,20.25,24.25,3.0,0.0,1.0,POINT (20.25 24.25),298.3269958496094,301.5590515136719,308.5876159667969,314.2171325683594,318.76666259765625,322.4714050292969,323.87237548828125,323.6933288574219,321.4276123046875,315.0952453613281,306.894287109375,299.81524658203125
144132,20.25,23.75,3.0,0.0,1.0,POINT (20.25 23.75),300.177001953125,303.7895202636719,310.6476135253906,316.3571472167969,320.6971435546875,324.1695251464844,325.51617431640625,325.4466552734375,322.9723815917969,316.86285400390625,308.82952880859375,301.7895202636719
144133,20.25,23.25,3.0,0.0,1.0,POINT (20.25 23.25),298.9750061035156,302.32476806640625,309.1523742675781,314.63427734375,319.181884765625,322.40570068359375,323.9409484863281,323.92572021484375,321.8056945800781,315.80474853515625,307.61712646484375,300.6666564941406
